case,family,noise_std,noise_seed,policy,run,status,final_rmse,final_max_error,coverage_95,interval_width,motion_time,distance,time_averaged_rmse,repeat_fraction,compute_p95_seconds,wall_seconds,rmse_at_8,rmse_at_16,rmse_at_32,rmse_at_64,rmse_at_128
circle-0,circle,0.0,51001,random,circle-0-n0-s51001-random,budget_exhausted,2.74066093940241e-06,1.6766065726980806e-05,1.0,0.018132352660934818,401.4669751485002,317.1159340876611,0.004873070966234268,0.0,0.005063761884230188,4.605949159013107,0.0019121110773181293,0.0016274236839300229,0.0006200401361030729,4.694897649124431e-05,2.74066093940241e-06
circle-0,circle,0.0,51001,sweep,circle-0-n0-s51001-sweep,budget_exhausted,5.2351650671368074e-08,8.211343305308816e-08,1.0,0.01048592204667189,213.5850082482673,129.23396718742808,0.004943057743436989,0.0,0.005787144057103432,4.590019069990376,0.0019121110773181293,0.0018355368084895145,0.0017087538158551089,0.001416714927892557,5.2351650671368074e-08
circle-0,circle,0.0,51001,gap,circle-0-n0-s51001-gap,budget_exhausted,5.2351650672513083e-08,8.211343305308816e-08,1.0,0.010485922046661688,231.7473407768326,147.39629971599382,0.004370806828943307,0.0,0.008626950891630257,3.7886029700166546,0.0019121110773181293,0.00018709263876805977,1.2989753329465994e-05,8.324530105447322e-07,5.2351650672513083e-08
circle-0,circle,0.0,51001,variance,circle-0-n0-s51001-variance,budget_exhausted,5.2351650671211386e-08,8.211343305308816e-08,1.0,0.010485922046647746,369.29019414181073,284.9391530809723,0.004703531945192293,0.0,0.006457059943932108,3.6137982860091142,0.0019121110773181293,0.00018709263876805977,1.2989753329464732e-05,8.324530105448756e-07,5.2351650671211386e-08
circle-0,circle,0.0,51001,cost,circle-0-n0-s51001-cost,budget_exhausted,1.5253894830154197e-07,6.856315549752523e-07,1.0,0.010988378532259792,270.1582197054895,185.80717864465026,0.0043694928910744365,0.0,0.01978619022993368,4.141301220020978,0.0019121110773181293,0.00022630680007595152,1.7767073597441836e-05,1.429813846749971e-06,1.5253894830154197e-07
circle-0,circle,0.0,51002,random,circle-0-n0-s51002-random,budget_exhausted,2.74066093940241e-06,1.6766065726980806e-05,1.0,0.018132352660934818,401.4669751485002,317.1159340876611,0.004873070966234268,0.0,0.003853487968444823,2.9947524380113464,0.0019121110773181293,0.0016274236839300229,0.0006200401361030729,4.694897649124431e-05,2.74066093940241e-06
circle-0,circle,0.0,51002,sweep,circle-0-n0-s51002-sweep,budget_exhausted,5.2351650671368074e-08,8.211343305308816e-08,1.0,0.01048592204667189,213.5850082482673,129.23396718742808,0.004943057743436989,0.0,0.003308426099829375,2.5635484689846635,0.0019121110773181293,0.0018355368084895145,0.0017087538158551089,0.001416714927892557,5.2351650671368074e-08
circle-0,circle,0.0,51002,gap,circle-0-n0-s51002-gap,budget_exhausted,5.2351650672513083e-08,8.211343305308816e-08,1.0,0.010485922046661688,231.7473407768326,147.39629971599382,0.004370806828943307,0.0,0.0054589146428043024,2.676254352001706,0.0019121110773181293,0.00018709263876805977,1.2989753329465994e-05,8.324530105447322e-07,5.2351650672513083e-08
circle-0,circle,0.0,51002,variance,circle-0-n0-s51002-variance,budget_exhausted,5.2351650671211386e-08,8.211343305308816e-08,1.0,0.010485922046647746,369.29019414181073,284.9391530809723,0.004703531945192293,0.0,0.004152238853566812,2.4491938739956822,0.0019121110773181293,0.00018709263876805977,1.2989753329464732e-05,8.324530105448756e-07,5.2351650671211386e-08
circle-0,circle,0.0,51002,cost,circle-0-n0-s51002-cost,budget_exhausted,1.5253894830154197e-07,6.856315549752523e-07,1.0,0.010988378532259792,270.1582197054895,185.80717864465026,0.0043694928910744365,0.0,0.01746757450600853,4.198623470001621,0.0019121110773181293,0.00022630680007595152,1.7767073597441836e-05,1.429813846749971e-06,1.5253894830154197e-07
circle-0,circle,0.005,51001,random,circle-0-n1-s51001-random,budget_exhausted,0.004283685218261471,0.011286272719256085,0.98876953125,0.02849614865832032,401.4669751485002,317.1159340876611,0.006690924284312086,0.0,0.0035841346019878967,3.136878974008141,0.003613256066212786,0.00521346830446646,0.007184158266582068,0.0064845365214185454,0.004283685218261471
circle-0,circle,0.005,51001,sweep,circle-0-n1-s51001-sweep,budget_exhausted,0.004306590313946176,0.012077188699936348,0.983154296875,0.020578540807061372,213.5850082482673,129.23396718742808,0.006554812921818739,0.0,0.005652213301800654,3.1393246549996547,0.003613256066212786,0.0039872238661107255,0.005342528942996336,0.005642739676575453,0.004306590313946176
circle-0,circle,0.005,51001,gap,circle-0-n1-s51001-gap,budget_exhausted,0.004306590313946062,0.012077188699934571,0.983154296875,0.020578540807056817,231.7473407768326,147.39629971599385,0.006746165802295279,0.0,0.007920519704930481,3.464107503008563,0.003613256066212786,0.005269060807688339,0.00487077668779716,0.004424694029925219,0.004306590313946062
circle-0,circle,0.005,51001,variance,circle-0-n1-s51001-variance,budget_exhausted,0.0043065903139462396,0.012077188699935015,0.983154296875,0.020578540807057472,348.5753175822028,264.2242765213644,0.006836574690635586,0.0,0.005835463403491301,3.1012401480111293,0.003613256066212786,0.00526906080768834,0.004870776687797157,0.0044246940299252115,0.0043065903139462396
circle-0,circle,0.005,51001,cost,circle-0-n1-s51001-cost,budget_exhausted,0.004140995659646334,0.01179898765585663,0.9892578125,0.021068172036881126,269.1028409234241,184.75179986258493,0.006814266590277391,0.0,0.03198760033264989,4.584189546003472,0.003613256066212786,0.005446921602011955,0.005035421946373043,0.004987636419915527,0.004140995659646334
circle-0,circle,0.005,51002,random,circle-0-n1-s51002-random,budget_exhausted,0.00501331203310871,0.01639996836422075,0.982421875,0.02849614865832032,401.4669751485002,317.1159340876611,0.006443285386787,0.0,0.005039275473973246,2.957582959003048,0.0031929561854327753,0.004823712427973945,0.0054738503456606335,0.005604779173483445,0.00501331203310871
circle-0,circle,0.005,51002,sweep,circle-0-n1-s51002-sweep,budget_exhausted,0.004555144177058424,0.013936965352958297,0.975341796875,0.020578540807061372,213.5850082482673,129.23396718742808,0.007006583340488526,0.0,0.0047309162386227396,2.8469199149985798,0.0031929561854327753,0.005049794336398984,0.0045654022720660195,0.004722251806519847,0.004555144177058424
circle-0,circle,0.005,51002,gap,circle-0-n1-s51002-gap,budget_exhausted,0.004555144177058416,0.013936965352959185,0.975341796875,0.02057854080705722,231.74734077683254,147.39629971599385,0.006293234373346165,0.0,0.010360651659721038,3.476294851017883,0.0031929561854327753,0.0035633522146382053,0.004641770290887416,0.004814192964351455,0.004555144177058416
circle-0,circle,0.005,51002,variance,circle-0-n1-s51002-variance,budget_exhausted,0.004555144177058088,0.013936965352958075,0.975341796875,0.02057854080705748,347.78991941880537,263.4388783579669,0.006163265310064601,0.0,0.00705361224681837,3.2076133520167787,0.0031929561854327753,0.0035633522146382053,0.004641770290887415,0.004814192964351473,0.004555144177058088
circle-0,circle,0.005,51002,cost,circle-0-n1-s51002-cost,budget_exhausted,0.004431469926680466,0.014620564908630063,0.97216796875,0.021065426446427747,266.3048599663208,181.95381890548157,0.0063890804647911735,0.0,0.02628791328752412,4.842460874002427,0.0031929561854327753,0.003988960079660128,0.0040575040643534835,0.004961295428599769,0.004431469926680466
circle-0,circle,0.015,51001,random,circle-0-n2-s51001-random,budget_exhausted,0.010320611797173534,0.028636983708469788,0.980712890625,0.05129832024645699,401.4669751485002,317.1159340876611,0.013645245514331696,0.0,0.006027848600933793,3.3703202019969467,0.011813788280429451,0.015375943138296795,0.016517397706779898,0.013782110263873526,0.010320611797173534
circle-0,circle,0.015,51001,sweep,circle-0-n2-s51001-sweep,budget_exhausted,0.010389490293071136,0.02796286166081352,0.973876953125,0.04446520262226501,213.5850082482673,129.23396718742808,0.013258477743263317,0.0,0.003430876763013657,2.931471360003343,0.011813788280429451,0.012995593469881356,0.01353497604941029,0.014751968290310457,0.010389490293071136
circle-0,circle,0.015,51001,gap,circle-0-n2-s51001-gap,budget_exhausted,0.01038949029307121,0.027962861660813076,0.973876953125,0.04446520262226461,231.7473407768326,147.39629971599385,0.01355292205265215,0.0,0.008806311960506717,3.18587311898591,0.011813788280429451,0.01581363019858341,0.014227401375423018,0.011450647041477616,0.01038949029307121
circle-0,circle,0.015,51001,variance,circle-0-n2-s51001-variance,budget_exhausted,0.010389490293071143,0.027962861660814853,0.973876953125,0.04446520262226411,328.6458391859935,244.29479812515427,0.013972070955287661,0.0,0.004975966751226224,2.883622343011666,0.011813788280429451,0.015813630198583412,0.014227401375423011,0.011450647041477672,0.010389490293071143
